ID ,Category,Question,Answer Choices,Answer,Implicit Prompt,Correct_im,Explicit Prompt,Correct_ex,Comments
1,sc,Are the butterfly's wings closer to being open or closed?,(a) Open (b) Closed,(a),generate a butterfly in a natural outdoor setting,N,generate a butterfly flying in a sunny meadow with wings fully spread,Y,
2,sc,Are the butterfly's wings closer to being open or closed?,(a) Open (b) Closed,(b),generate a butterfly in a natural outdoor setting,Y,generate a butterfly resting on a flower with wings folded closed,N,
3,sh,Is the flame of the match more round or thin?,(a) Round (b) Thin,(a),generate a lit match with visible flame,Y,generate a lit match with a large round flame,N,
4,sh,Is the flame of the match more round or thin?,(a) Round (b) Thin,(b),generate a lit match with visible flame,Y,generate a lit match with a narrow elongated flame,Y,
5,od,Is the dog facing left or right from the camera's perspective?,(a) Left (b) Right,(a),generate a dog in a sitting position,Y,generate a golden retriever sitting and looking toward the left side,Y,
6,od,Is the dog facing left or right from the camera's perspective?,(a) Left (b) Right,(b),generate a dog in a sitting position,Y,generate a golden retriever sitting and looking toward the right side,N,
7,od,Is the school bus driving towards or away from the camera?,(a) Towards the camera (b) Away from the camera,(a),generate a school bus on a road,Y,generate a yellow school bus driving directly toward the viewer on a road,Y,
8,od,Is the school bus driving towards or away from the camera?,(a) Towards the camera (b) Away from the camera,(b),generate a school bus on a road,Y,generate a yellow school bus driving away from the viewer showing the back,N,
9,tx,"Can you see the key ""Z"" in the image?",(a) Yes (b) No,(a),generate a computer keyboard,Y,generate a computer keyboard with the Z key clearly visible and highlighted,N,
10,tx,"Can you see the key ""Z"" in the image?",(a) Yes (b) No,(b),generate a computer keyboard,Y,generate a computer keyboard photographed at an angle where the Z key is hidden,Y,
11,sc,Has the peacock opened its tail?,(a) Yes (b) No,(a),generate a male peacock,Y,generate a male peacock displaying its magnificent tail feathers in full spread,N,
12,sc,Has the peacock opened its tail?,(a) Yes (b) No,(b),generate a male peacock,Y,generate a male peacock walking with its tail feathers folded in,Y,
13,qc,Is the image more likely of a single ear of corn or multiple ears?,(a) Single (b) Multiple,(a),generate corn,Y,generate one fresh ear of corn with green husks on a wooden table,Y,
14,qc,Is the image more likely of a single ear of corn or multiple ears?,(a) Single (b) Multiple,(b),generate corn,Y,generate several ears of corn arranged in a basket at a farmers market,Y,
