Index,Question,Options,Correct Answer
1,Are the butterfly's wings closer to being open or closed?,(a) Open (b) Closed,(a)
2,Are the butterfly's wings closer to being open or closed?,(a) Open (b) Closed,(b)
3,Is the flame of the match more round or thin?,(a) Round (b) Thin,(a)
4,Is the flame of the match more round or thin?,(a) Round (b) Thin,(b)
5,Is the dog facing left or right from the camera's perspective?,(a) Left (b) Right,(a)
6,Is the dog facing left or right from the camera's perspective?,(a) Left (b) Right,(b)
7,Is the school bus driving towards or away from the camera?,(a) Towards the camera (b) Away from the camera,(a)
8,Is the school bus driving towards or away from the camera?,(a) Towards the camera (b) Away from the camera,(b)
9,"Can you see the key ""Z"" in the image?",(a) Yes (b) No,(a)
10,"Can you see the key ""Z"" in the image?",(a) Yes (b) No,(b)
