Index,Category,Question,Options,Correct Answer
1,sc,"Are the butterfly's wings closer to being open or closed?",(a) Open (b) Closed,(a)
2,sc,"Are the butterfly's wings closer to being open or closed?",(a) Open (b) Closed,(b)
3,sh,"Is the flame of the match more round or thin?",(a) Round (b) Thin,(a)
4,sh,"Is the flame of the match more round or thin?",(a) Round (b) Thin,(b)
5,od,"Is the dog facing left or right from the camera's perspective?",(a) Left (b) Right,(a)
6,od,"Is the dog facing left or right from the camera's perspective?",(a) Left (b) Right,(b)
7,od,"Is the school bus driving towards or away from the camera?",(a) Towards the camera (b) Away from the camera,(a)
8,od,"Is the school bus driving towards or away from the camera?",(a) Towards the camera (b) Away from the camera,(b)
9,tx,"Can you see the key "Z" in the image?",(a) Yes (b) No,(a)
10,tx,"Can you see the key "Z" in the image?",(a) Yes (b) No,(b)
11,sc,"Has the peacock opened its tail?",(a) Yes (b) No,(a)
12,sc,"Has the peacock opened its tail?",(a) Yes (b) No,(b)
13,qc,"Is the image more likely of a single ear of corn or multiple ears",(a) Single (b) Multiple,(a)
14,qc,"Is the image more likely of a single ear of corn or multiple ears",(a) Single (b) Multiple,(b)
15,pr,"Is there a shadow on the flower?",(a) Yes (b) No,(a)
16,pr,"Is there a shadow on the flower?",(a) Yes (b) No,(b)
17,sh,"Is the front of the school bus protruding?",(a) Yes (b) No,(a)
18,sh,"Is the front of the school bus protruding?",(a) Yes (b) No,(b)
19,pf,"Can you see the dorsal fin of the animal?",(a) Yes (b) No,(a)
20,pf,"Can you see the dorsal fin of the animal?",(a) Yes (b) No,(b)
21,pf,"Is the duck's entire beak visible in the picture?",(a) Yes (b) No,(a)
22,pf,"Is the duck's entire beak visible in the picture?",(a) Yes (b) No,(b)
23,vp,"From which angle is this image taken?",(a) Front (b) Side,(a)
24,vp,"From which angle is this image taken?",(a) Front (b) Side,(b)
25,ca,"What color is the chicken's body?",(a) Black (b) Red,(a)
26,ca,"What color is the chicken's body?",(a) Black (b) Red,(b)
27,pf,"Is the peacock's head visible in the image?",(a) Yes (b) No,(a)
28,pf,"Is the peacock's head visible in the image?",(a) Yes (b) No,(b)
29,pf,"Based on the image, is the following statement correct: We cannot see the window on the school bus?",(a) Correct (b) Incorrect,(a)
30,pf,"Based on the image, is the following statement correct: We cannot see the window on the school bus?",(a) Correct (b) Incorrect,(b)
31,sc,"Is the wind blowing the flag?",(a) Yes (b) No,(a)
32,sc,"Is the wind blowing the flag?",(a) Yes (b) No,(b)
33,pf,"Is the butterfly's abdomen visible in the image?",(a) Yes (b) No,(a)
34,pf,"Is the butterfly's abdomen visible in the image?",(a) Yes (b) No,(b)
35,pf,"Do the vegetables have spikes?",(a) Yes (b) No,(a)
36,pf,"Do the vegetables have spikes?",(a) Yes (b) No,(b)
37,ca,"What color are the flowers in the background?",(a) Pink (b) Violet,(a)
38,ca,"What color are the flowers in the background?",(a) Pink (b) Violet,(b)
39,pr,"Is the duck floating?",(a) Yes (b) No,(a)
40,pr,"Is the duck floating?",(a) Yes (b) No,(b)
41,qc,"Based on the image, is the following statement correct: The spider has 8 legs?",(a) Yes (b) No,(a)
42,qc,"Based on the image, is the following statement correct: The spider has 8 legs?",(a) Yes (b) No,(b)
43,pf,"Are the wheels of the school bus visible in the image?",(a) Yes (b) No,(a)
44,pf,"Are the wheels of the school bus visible in the image?",(a) Yes (b) No,(b)
45,pf,"Is the shark's belly visible in this image?",(a) Yes (b) No,(a)
46,pf,"Is the shark's belly visible in this image?",(a) Yes (b) No,(b)
47,qc,"How many spots are on the animal in the image?",(a) 5 (b) 6,(a)
48,qc,"How many spots are on the animal in the image?",(a) 5 (b) 6,(b)
49,pf,"Are the arrow keys visible in the image?",(a) Yes (b) No,(a)
50,pf,"Are the arrow keys visible in the image?",(a) Yes (b) No,(b)
51,sc,"Is the elephant's trunk curled in the picture?",(a) Yes (b) No,(a)
52,sc,"Is the elephant's trunk curled in the picture?",(a) Yes (b) No,(b)
53,qc,"Is the number of pills in the image in the range of countable?",(a) Yes (b) No,(a)
54,qc,"Is the number of pills in the image in the range of countable?",(a) Yes (b) No,(b)
55,pf,"Can you see stems of bananas in the image?",(a) Yes (b) No,(a)
56,pf,"Can you see stems of bananas in the image?",(a) Yes (b) No,(b)
57,pr,"Is the crocodile submerged in the water?",(a) Yes (b) No,(a)
58,pr,"Is the crocodile submerged in the water?",(a) Yes (b) No,(b)
