id,category,question,answer_choices,answer,prompt_im,prompt_ex,expected
1,sc,Are the butterfly's wings closer to being open or closed?,(a) Open (b) Closed,(a),generate a butterfly in a natural outdoor setting,generate a butterfly flying in a sunny meadow with wings fully spread
2,sc,Are the butterfly's wings closer to being open or closed?,(a) Open (b) Closed,(b),generate a butterfly in a natural outdoor setting,generate a butterfly resting on a flower with wings folded closed
3,sh,Is the flame of the match more round or thin?,(a) Round (b) Thin,(a),generate a lit match with visible flame,generate a lit match with a large round flame
4,sh,Is the flame of the match more round or thin?,(a) Round (b) Thin,(b),generate a lit match with visible flame,generate a lit match with a narrow elongated flame
5,od,Is the dog facing left or right from the camera's perspective?,(a) Left (b) Right,(a),generate a dog in a sitting position,generate a golden retriever sitting and looking toward the left side
6,od,Is the dog facing left or right from the camera's perspective?,(a) Left (b) Right,(b),generate a dog in a sitting position,generate a golden retriever sitting and looking toward the right side
7,od,Is the school bus driving towards or away from the camera?,(a) Towards the camera (b) Away from the camera,(a),generate a school bus on a road,generate a yellow school bus driving directly toward the viewer on a road
8,od,Is the school bus driving towards or away from the camera?,(a) Towards the camera (b) Away from the camera,(b),generate a school bus on a road,generate a yellow school bus driving away from the viewer showing the back
9,tx,Can you see the key "Z" in the image?,(a) Yes (b) No,(a),generate a computer keyboard,generate a computer keyboard with the Z key clearly visible and highlighted
10,tx,Can you see the key "Z" in the image?,(a) Yes (b) No,(b),generate a computer keyboard,generate a computer keyboard photographed at an angle where the Z key is hidden
11,sc,Has the peacock opened its tail?,(a) Yes (b) No,(a),generate a male peacock,generate a male peacock displaying its magnificent tail feathers in full spread
12,sc,Has the peacock opened its tail?,(a) Yes (b) No,(b),generate a male peacock,generate a male peacock walking with its tail feathers folded down
13,qc,Is the image more likely of a single ear of corn or multiple ears?,(a) Single (b) Multiple,(a),generate corn,generate one fresh ear of corn with green husks on a wooden table
14,qc,Is the image more likely of a single ear of corn or multiple ears?,(a) Single (b) Multiple,(b),generate corn,generate several ears of corn arranged in a basket at a farmers market
15,pr,Is there a shadow on the flower?,(a) Yes (b) No,(a),generate a flower in natural lighting,generate a sunflower with a distinct shadow cast across its petals
16,pr,Is there a shadow on the flower?,(a) Yes (b) No,(b),generate a flower in natural lighting,generate a sunflower in even lighting with no visible shadows
17,sh,Is the front of the school bus protruding?,(a) Yes (b) No,(a),generate a school bus,generate a school bus with a distinctive protruding front nose section
18,sh,Is the front of the school bus protruding?,(a) Yes (b) No,(b),generate a school bus,generate a school bus with a flat front design
19,pf,Can you see the dorsal fin of the animal?,(a) Yes (b) No,(a),generate a marine animal,generate a dolphin jumping out of water with its dorsal fin clearly visible
20,pf,Can you see the dorsal fin of the animal?,(a) Yes (b) No,(b),generate a marine animal,generate a dolphin swimming underwater viewed from below with no dorsal fin visible
21,pf,Is the duck's entire beak visible in the picture?,(a) Yes (b) No,(a),generate a duck,generate a mallard duck swimming with its full beak clearly shown
22,pf,Is the duck's entire beak visible in the picture?,(a) Yes (b) No,(b),generate a duck,generate a duck with its head turned so the beak is partially hidden
23,vp,From which angle is this image taken?,(a) Front (b) Side,(a),generate a car,generate a car photographed directly from the front view
24,vp,From which angle is this image taken?,(a) Front (b) Side,(b),generate a car,generate a car photographed from the side profile view
25,ca,What color is the chicken's body?,(a) Black (b) Red,(a),generate a chicken in a farmyard,generate a black-feathered chicken standing in a farmyard
26,ca,What color is the chicken's body?,(a) Black (b) Red,(b),generate a chicken in a farmyard,generate a red-brown chicken standing in a farmyard
27,pf,Is the peacock's head visible in the image?,(a) Yes (b) No,(a),generate a peacock,generate a peacock with its head clearly visible in the frame
28,pf,Is the peacock's head visible in the image?,(a) Yes (b) No,(b),generate a peacock,generate a peacock photographed from behind with its head out of frame
29,pf,Based on the image, is the following statement correct: We cannot see the window on the school bus?,(a) Correct (b) Incorrect,(a),generate a school bus,generate a school bus photographed from an angle where no windows are visible
30,pf,Based on the image, is the following statement correct: We cannot see the window on the school bus?,(a) Correct (b) Incorrect,(b),generate a school bus,generate a school bus with multiple windows clearly visible on the side
31,sc,Is the wind blowing the flag?,(a) Yes (b) No,(a),generate a flag,generate an American flag waving vigorously in strong wind
32,sc,Is the wind blowing the flag?,(a) Yes (b) No,(b),generate a flag,generate an American flag hanging limp on a windless day
33,pf,Is the butterfly's abdomen visible in the image?,(a) Yes (b) No,(a),generate a butterfly,generate a butterfly on a flower with its body section clearly visible
34,pf,Is the butterfly's abdomen visible in the image?,(a) Yes (b) No,(b),generate a butterfly,generate a butterfly photographed from above with wings covering the body
35,pf,Do the vegetables have spikes?,(a) Yes (b) No,(a),generate vegetables,generate fresh artichokes with their sharp spiky leaves prominently displayed
36,pf,Do the vegetables have spikes?,(a) Yes (b) No,(b),generate vegetables,generate smooth bell peppers arranged on a cutting board
37,ca,What color are the flowers in the background?,(a) Pink (b) Violet,(a),generate a garden scene with flowers in the background,generate a garden scene with pink roses blooming in the background
38,ca,What color are the flowers in the background?,(a) Pink (b) Violet,(b),generate a garden scene with flowers in the background,generate a garden scene with violet lilacs blooming in the background
39,pr,Is the duck floating?,(a) Yes (b) No,(a),generate a duck near water,generate a duck floating peacefully on a calm pond
40,pr,Is the duck floating?,(a) Yes (b) No,(b),generate a duck near water,generate a duck standing on the shore beside a pond
41,qc,Based on the image, is the following statement correct: The spider has 8 legs?,(a) Yes (b) No,(a),generate a spider,generate a detailed close-up of a spider showing all eight legs clearly
42,qc,Based on the image, is the following statement correct: The spider has 8 legs?,(a) Yes (b) No,(b),generate a spider,generate a spider with some legs hidden behind its body or damaged
43,pf,Are the wheels of the school bus visible in the image?,(a) Yes (b) No,(a),generate a school bus,generate a school bus photographed from the side showing its wheels
44,pf,Are the wheels of the school bus visible in the image?,(a) Yes (b) No,(b),generate a school bus,generate a school bus photographed from above where wheels are not visible
45,pf,Is the shark's belly visible in this image?,(a) Yes (b) No,(a),generate a shark,generate a shark swimming upside down showing its white belly
46,pf,Is the shark's belly visible in this image?,(a) Yes (b) No,(b),generate a shark,generate a shark swimming normally with only its top side visible
47,qc,How many spots are on the animal in the image?,(a) 5 (b) 6,(a),generate a spotted animal,generate a leopard with exactly 5 distinct spots clearly visible
48,qc,How many spots are on the animal in the image?,(a) 5 (b) 6,(b),generate a spotted animal,generate a leopard with exactly 6 distinct spots clearly visible
49,pf,Are the arrow keys visible in the image?,(a) Yes (b) No,(a),generate a computer keyboard,generate a computer keyboard with the arrow keys clearly visible
50,pf,Are the arrow keys visible in the image?,(a) Yes (b) No,(b),generate a computer keyboard,generate a computer keyboard photographed from an angle hiding the arrow keys
51,sc,Is the elephant's trunk curled in the picture?,(a) Yes (b) No,(a),generate an elephant,generate an elephant with its trunk curved upward in a curl
52,sc,Is the elephant's trunk curled in the picture?,(a) Yes (b) No,(b),generate an elephant,generate an elephant with its trunk hanging straight down
53,qc,Is the number of pills in the image countable?,(a) Yes (b) No,(a),generate pills,generate a small bottle with about 10-15 pills spilled out for easy counting
