ID ,Category,Question,Answer Choices,Answer,Implicit Prompt,Correct_im,Explicit Prompt,Correct_ex,Comments
81,ca,Is this a hammerhead shark?,(a) Yes (b) No,(a),generate a shark,Y,Generate a hammerhead shark with its wide flat hammer-shaped head clearly visible in the images,Y,
82,ca,Is this a hammerhead shark?,(a) Yes (b) No,(b),generate a shark,Y,Generate a great white shark with a typical pointed head and no hammer-shaped features.,Y,
83,sc,Is the door of the truck cab open?,(a) Yes (b) No,(a),generate a truck,Y,Generate a truck where the drivers side door is open and clearly visible.,Y,
84,sc,Is the door of the truck cab open?,(a) Yes (b) No,(b),generate a truck,Y,Generate a truck with all of its doors fully closed and shut,Y,
85,sh,Are the ears of the dog erect or drooping?,(a) Erect (b) Drooping,(a),generate a dog,Y,Generate a dog with tall upright ears standing straight up like a German Shepherd,Y,
86,sh,Are the ears of the dog erect or drooping?,(a) Erect (b) Drooping,(b),generate a dog,Y,Generate a dog with long floppy ears that hang down like a Basset Hound,Y,
87,pf,Is there a hand using the mouse in the image?,(a) Yes (b) No,(a),generate a computer mouse,Y,Generate a scene showing a human hand actively using a computer mouse,Y,
88,pf,Is there a hand using the mouse in the image?,(a) Yes (b) No,(b),generate a computer mouse,Y,Generate a computer mouse resting on a desk with no hand touching it,Y,
89,pf,Can you see people in this image?,(a) Yes (b) No,(a),generate a scene,Y,Generate a busy outdoor street scene with multiple people walking around,Y,
90,pf,Can you see people in this image?,(a) Yes (b) No,(b),generate a scene,Y,Generate a wide outdoor landscape with no people visible anywhere.,Y,
91,tx,Are there any words displayed on the vehicle's lightbar?,(a) Yes (b) No,(a),generate a police vehicle,Y,Generate a police car with the word POLICE clearly displayed on its lightbar,N,
92,tx,Are there any words displayed on the vehicle's lightbar?,(a) Yes (b) No,(b),generate a police vehicle,Y,Generate a police car with a plain lightbar with nothing written on it,Y,
93,pf,Is there any accessory on the wrists?,(a) Yes (b) No,(a),generate hands and wrists,Y,Generate a close-up of human hands with a wristwatch or bracelet visible,Y,
94,pf,Is there any accessory on the wrists?,(a) Yes (b) No,(b),generate hands and wrists,Y,Generate a close-up of human hands and wrists with no jewelry or accessories,N,
95,pr,"From the camera's perspective, is the spider web very dense or relatively sparse?",(a) Very dense (b) Relatively sparse,(a),generate a spider web,Y,Generate a spider web that looks very dense with many overlapping thick strands,Y,
96,pr,"3From the camera's perspective, is the spider web very dense or relatively sparse?",(a) Very dense (b) Relatively sparse,(b),generate a spider web,Y,Generate a spider web that looks sparse,Y,
97,pf,Does the keyboard have a backlight?,(a) Yes (b) No,(a),generate a computer keyboard,Y,Generate a computer keyboard glowing with illuminated backlit keys.,Y,
98,pf,Does the keyboard have a backlight?,(a) Yes (b) No,(b),generate a computer keyboard,Y,Generate a computer keyboard with no backlighting just standard keys,Y,
99,sh,Does the elephant have long or short tusks?,(a) Long (b) Short,(a),generate an elephant,Y,Generate an elephant with very long curved tusks that stand out clearly,Y,
100,sh,Does the elephant have long or short tusks?,(a) Long (b) Short,(b),generate an elephant,Y,Generate an elephant with small short tusks or none visible at all,Y,
